dic_mot;dic_norm;dic_morpho
a capella;a_capella;ADV
a cappella;a_cappella;ADV
a contrario;a_contrario;ADV
a fortiori;a_fortiori;ADV
a giorno;a_giorno;ADV
a l'instar;a_l_instar;PRE
a posteriori;a_posteriori;ADV
ab absurdo;ab_absurdo;ADV
ab initio;ab_initio;ADV
ab ovo;ab_ovo;ADV
abaisse-langue;abaisse_langue;NOM
abat-jour;abat_jour;NOM
abat-son;abat_son;NOM
abri-refuge;abri_refuge;NOM
accroche-coeur;accroche_coeur;NOM
accroche-coeurs;accroche_coeur;NOM
acid jazz;acid_jazz;NOM
acqua-toffana;acqua_toffana;NOM
action painting;action_painting;NOM
ad hoc;ad_hoc;ADJ
ad infinitum;ad_infinitum;ADV
ad libitum;ad_libitum;ADV
ad limina;ad_limina;ADV
ad majorem dei gloriam;ad_majorem_dei_gloriam;ADV
ad nutum;ad_nutum;ADV
ad patres;ad_patres;ADV
ad vitam aeternam;ad_vitam_aeternam;ADV
adjudant-chef;adjudant_chef;NOM
adjudant-major;adjudant_major;NOM
adjudants-chefs;adjudant_chef;NOM
afro-américain;afro_américain;NOM
afro-américaine;afro_américain;ADJ
afro-américains;afro_américain;NOM
afro-asiatique;afro_asiatique;ADJ
afro-brésilienne;afro_brésilien;ADJ
afro-cubain;afro_cubain;ADJ
afro-cubaine;afro_cubain;ADJ
afro-cubains;afro_cubain;ADJ
after shave;after_shave;NOM
after-shave;after_shave;NOM
agar-agar;agar_agar;NOM
agit-prop;agit_prop;NOM
agnus dei;agnus_dei;NOM
agnus-dei;agnus_dei;NOM
agro-alimentaire;agro_alimentaire;ADJ
aide-bourreau;aide_bourreau;NOM
aide-comptable;aide_comptable;NOM
aide-cuisinier;aide_cuisinier;NOM
aide-infirmier;aide_infirmier;NOM
aide-jardinier;aide_jardinier;NOM
aide-major;aide_major;NOM
aide-mémoire;aide_mémoire;NOM
aide-ménagère;aide_ménagère;NOM
aide-pharmacien;aide_pharmacien;NOM
aide-soignant;aide_soignant;NOM
aide-soignante;aide_soignant;NOM
aides-soignantes;aide_soignant;NOM
aides-soignants;aide_soignant;NOM
aigre-douce;aigre_doux;ADJ
aigre-doux;aigre_doux;ADJ
aigres-douces;aigre_doux;ADJ
aigres-doux;aigre_doux;ADJ
aigue-marine;aigue_marine;NOM
aigues-marines;aigue_marine;NOM
air bag;air_bag;NOM
air-air;air_air;ADJ
air-mer;air_mer;ADJ
air-sol;air_sol;ADJ
al dente;al_dente;ADV
alea jacta est;alea_jacta_est;ADV
all right;all_right;ADV
aller-retour;aller_retour;NOM
allers-retours;aller_retour;NOM
allume-cigare;allume_cigare;NOM
allume-cigares;allume_cigares;NOM
allume-feu;allume_feu;NOM
allume-gaz;allume_gaz;NOM
alter ego;alter_ego;NOM
am stram gram;am_stram_gram;ONO
amour-goût;amour_goût;NOM
amour-passion;amour_passion;NOM
amour-propre;amour_propre;NOM
amours-propres;amour_propre;NOM
ampli-tuner;ampli_tuner;NOM
amuse-bouche;amuse_bouche;NOM
amuse-bouches;amuse_bouche;NOM
amuse-gueule;amuse_gueule;NOM
amuse-gueules;amuse_gueule;NOM
américano-britannique;américano_britannique;ADJ
américano-japonaise;américano_japonais;ADJ
américano-russe;américano_russe;ADJ
américano-soviétique;américano_soviétique;ADJ
américano-suédoise;américano_suédois;ADJ
anarcho-syndicalisme;anarcho_syndicalisme;NOM
anarcho-syndicaliste;anarcho_syndicaliste;ADJ
anarcho-syndicalistes;anarcho_syndicaliste;ADJ
anch'io son pittore;anch_io_son_pittore;ADV
anglo-albanais;anglo_albanais;ADJ
anglo-allemand;anglo_allemand;ADJ
anglo-américain;anglo_américain;ADJ
anglo-américaine;anglo_américain;ADJ
anglo-américaines;anglo_américain;ADJ
anglo-américains;anglo_américain;ADJ
anglo-arabe;anglo_arabe;ADJ
anglo-arabes;anglo_arabe;ADJ
anglo-chinois;anglo_chinois;ADJ
anglo-français;anglo_français;ADJ
anglo-française;anglo_français;ADJ
anglo-hellénique;anglo_hellénique;ADJ
anglo-irlandais;anglo_irlandais;ADJ
anglo-normand;anglo_normand;ADJ
anglo-normande;anglo_normand;ADJ
anglo-normandes;anglo_normand;ADJ
anglo-russe;anglo_russe;ADJ
anglo-russes;anglo_russe;ADJ
anglo-saxon;anglo_saxon;ADJ
anglo-saxonne;anglo_saxon;ADJ
anglo-saxonnes;anglo_saxon;ADJ
anglo-saxons;anglo_saxon;ADJ
anglo-soviétique;anglo_soviétique;ADJ
anglo-égyptien;anglo_égyptien;ADJ
anglo-égyptienne;anglo_égyptien;ADJ
anglo-éthiopien;anglo_éthiopien;ADJ
animal-roi;animal_roi;NOM
animaux-espions;animaux_espions;NOM
année-lumière;année_lumière;NOM
années-homme;année_homme;NOM
années-lumière;année_lumière;NOM
anti-acné;anti_acné;NOM
anti-agression;anti_agression;NOM
anti-allergie;anti_allergie;NOM
anti-anatomique;anti_anatomique;ADJ
anti-apartheid;anti_apartheid;NOM
anti-aphrodisiaque;anti_aphrodisiaque;ADJ
anti-asthmatique;anti_asthmatique;NOM
anti-atomique;anti_atomique;ADJ
anti-atomiques;anti_atomique;ADJ
anti-avortement;anti_avortement;NOM
anti-aérien;anti_aérien;ADJ
anti-aérienne;anti_aérien;ADJ
anti-aériens;anti_aérien;ADJ
anti-beauf;anti_beauf;NOM
anti-bison;anti_bison;NOM
anti-blindage;anti_blindage;NOM
anti-blouson;anti_blouson;NOM
anti-bombe;anti_bombe;NOM
anti-bombes;anti_bombe;NOM
anti-bosons;anti_boson;NOM
anti-braquage;anti_braquage;NOM
anti-brouillard;anti_brouillard;ADJ
anti-bruit;anti_bruit;NOM
anti-calciques;anti_calcique;ADJ
anti-cancer;anti_cancer;NOM
anti-capitaliste;anti_capitaliste;ADJ
anti-castriste;anti_castriste;ADJ
anti-castristes;anti_castriste;NOM
anti-cellulite;anti_cellulite;NOM
