c_mot;c_lemme;c_morpho
a;avoir;aux
à;à;pre
à_brûle_pourpoint;à_brûle_pourpoint;nom
a_capella;a_capella;adv
a_cappella;a_cappella;adv
à_cloche_pied;à_cloche_pied;nom
a_contrario;a_contrario;adv
à_côté;à_côté;nom
à_côté;à_côté;nom
à_coup;à_coup;nom
à_coup;à_coup;nom
à_cropetons;à_cropetons;adv
à_croupetons;à_croupetons;adv
à_dieu_vat;à_dieu_vat;ono
a_fortiori;a_fortiori;adv
à_fortiori;à_fortiori;adv
a_giorno;a_giorno;adv
à_giorno;à_giorno;adv
à_glagla;à_glagla;adv
à_jeun;à_jeun;adv
à_jeun;à_jeun;adv
à_l_aveuglette;à_l_aveuglette;adv
à_l_encan;à_l_encan;adv
à_l_encontre;à_l_encontre;pre
à_l_envi;à_l_envi;adv
à_l_improviste;à_l_improviste;adv
a_l_instar;a_l_instar;pre
à_l_instar;à_l_instar;pre
à_la_daumont;à_la_daumont;adv
à_la_saint_glinglin;à_la_saint_glinglin;adv
à_leur_encontre;à_leur_encontre;adv
à_lurelure;à_lurelure;adv
à_mon_encontre;à_mon_encontre;adv
à_notre_encontre;à_notre_encontre;adv
à_peu_près;à_peu_près;nom
à_pic;à_pic;nom
à_pic;à_pic;nom
à_plat;à_plat;nom
à_plat;à_plat;nom
a_posteriori;a_posteriori;adv
a_posteriori;a_posteriori;adv
a_priori;a_priori;adv
a_priori;a_priori;adv
à_propos;à_propos;nom
à_rebrousse_poil;à_rebrousse_poil;nom
à_son_encontre;à_son_encontre;adv
à_tâtons;à_tâtons;adv
à_tire_larigot;à_tire_larigot;nom
à_ton_encontre;à_ton_encontre;adv
à_touche_touche;à_touche_touche;nom
à_tue_tête;à_tue_tête;nom
à_valoir;à_valoir;nom
à_votre_encontre;à_votre_encontre;adv
aa;aa;nom
ab_absurdo;ab_absurdo;adv
ab_initio;ab_initio;adv
ab_ovo;ab_ovo;adv
abaca;abaca;nom
abaissa;abaisser;ver
abaissai;abaisser;ver
abaissaient;abaisser;ver
abaissait;abaisser;ver
abaissant;abaissant;adj
abaissante;abaissant;adj
abaisse;abaisser;ver
abaissé;abaisser;ver
abaisse_langue;abaisse_langue;nom
abaissée;abaisser;ver
abaissées;abaissé;adj
abaissement;abaissement;nom
abaissent;abaisser;ver
abaisser;abaisser;ver
abaissera;abaisser;ver
abaisserai;abaisser;ver
abaisseraient;abaisser;ver
abaisserais;abaisser;ver
abaisserait;abaisser;ver
abaissèrent;abaisser;ver
abaisses;abaisser;ver
abaissés;abaisser;ver
abaissez;abaisser;ver
abaissons;abaisser;ver
abalone;abalone;nom
abalones;abalone;nom
abandon;abandon;nom
abandonna;abandonner;ver
abandonnai;abandonner;ver
abandonnaient;abandonner;ver
abandonnais;abandonner;ver
abandonnait;abandonner;ver
abandonnâmes;abandonner;ver
abandonnant;abandonner;ver
abandonnas;abandonner;ver
abandonnât;abandonner;ver
abandonne;abandonner;ver
abandonné;abandonner;ver
abandonnée;abandonner;ver
abandonnées;abandonner;ver
abandonnent;abandonner;ver
abandonner;abandonner;ver
abandonnera;abandonner;ver
abandonnerai;abandonner;ver
abandonneraient;abandonner;ver
abandonnerais;abandonner;ver
abandonnerait;abandonner;ver
abandonneras;abandonner;ver
abandonnèrent;abandonner;ver
abandonnerez;abandonner;ver
abandonneriez;abandonner;ver
abandonnerions;abandonner;ver
abandonnerons;abandonner;ver
abandonneront;abandonner;ver
abandonnes;abandonner;ver
abandonnés;abandonner;ver
abandonneurs;abandonneur;nom
abandonnez;abandonner;ver
abandonniez;abandonner;ver
abandonnions;abandonner;ver
abandonnique;abandonnique;adj
abandonnons;abandonner;ver
abandons;abandon;nom
abaque;abaque;nom
abasourdi;abasourdir;ver
